id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order
101060698;point;climate;FoodSafeR;AGES - OSTERREICHISCHE AGENTUR FUR GESUNDHEIT UND ERNAHRUNGSSICHERHEIT GMBH;Getzersdorf bei Traismauer;Niederösterreich;48,328;15,696;http://cordis.europa.eu/project/id/101060698;;88875;;;;
101119901;point;waters;BIOTOXDoc;BIOMIN HOLDING GMBH;Getzersdorf bei Traismauer;Niederösterreich;48,328;15,696;http://cordis.europa.eu/project/id/101119901;;3861874286;;;;
5124624;point;cities;ReAssuRe;AEE - Institut für Nachhaltige Technologien (kurz: AEE INTEC);Gleisdorf;Steiermark;47,1054;15,7098;https://projekte.ffg.at/projekt/5124624;;;;;;
4762096;point;cities;InSite;AEE - Institut für Nachhaltige Technologien (kurz: AEE INTEC);Gleisdorf;Steiermark;47,1054;15,7098;https://projekte.ffg.at/projekt/4762096;;;;;;
5124572;point;climate;Topview;AEE - Institut für Nachhaltige Technologien (kurz: AEE INTEC);Gleisdorf;Steiermark;47,1054;15,7098;https://projekte.ffg.at/projekt/5124572;;;;;;
4762134;point;climate;GeoHub;AEE - Institut für Nachhaltige Technologien (kurz: AEE INTEC);Gleisdorf;Steiermark;47,1054;15,7098;https://projekte.ffg.at/projekt/4762134;;;;;;
4265939;point;climate;IEA EBC Annex 84;AEE - Institut für Nachhaltige Technologien (kurz: AEE INTEC);Gleisdorf;Steiermark;47,1054;15,7098;https://projekte.ffg.at/projekt/4265939;;;;;;
101138473;point;climate;IS2H4C;AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;Gleisdorf;Steiermark;47,1054;15,7098;http://cordis.europa.eu/project/id/101138473;;587500;;;;
101192326;point;cities;RENOMIZE;AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;Gleisdorf;Steiermark;47,1054;15,7098;http://cordis.europa.eu/project/id/101192326;;37544125;;;;
101192047;point;cities;DigiFab;AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;Gleisdorf;Steiermark;47,1054;15,7098;http://cordis.europa.eu/project/id/101192047;;350000;;;;
101138504;point;waters;CORNERSTONE;AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;Gleisdorf;Steiermark;47,1054;15,7098;http://cordis.europa.eu/project/id/101138504;;694875;;;;
101147855;point;cities;DATAWiSE;AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;Gleisdorf;Steiermark;47,1054;15,7098;http://cordis.europa.eu/project/id/101147855;;1858125;;;;
101069828;point;waters;FuelSOME;AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;Gleisdorf;Steiermark;47,1054;15,7098;http://cordis.europa.eu/project/id/101069828;;367125;;;;
744310;point;climate;AgriChemWhey;GIG KARASEK GMBH;Gloggnitz;Niederösterreich;47,6758;15,9374;http://cordis.europa.eu/project/id/744310;;693750;;;;
101181056;point;waters;RETAIN;SATTLER PRO-TEX GMBH;Goessendorf;Steiermark;46,9969;15,487;http://cordis.europa.eu/project/id/101181056;;25305125;;;;
101119427;point;cancer;eRaDicate;BIOLUTION GMBH;Gramatneusiedl;Niederösterreich;48,0291;16,4886;http://cordis.europa.eu/project/id/101119427;;0;;;;
101194287;point;cities;NexTArc;NXP SEMICONDUCTORS AUSTRIA GMBH & CO KG;Gratkorn;Steiermark;47,1326;15,3391;http://cordis.europa.eu/project/id/101194287;;165579125;;;;
5129317;point;cities;RESPED;JOANNEUM RESEARCH Forschungsgesellschaft mbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5129317;;;;;;
5124538;point;cities;Thannhausen 2.0;4ward Energy Research GmbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5124538;Klimaneutrales Energiequartier| Erneuerbare Energie / Gemeinschaftliche Eigenversorgung| Batteriespeicher| Direktleitungen;;;;;
5134323;point;cities;SAGE;Technische Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5134323;;;;;;
4869298;point;cities;CONFLICTEDSTREETS;VISION5 OG;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/4869298;;;;;;
4762102;point;cities;QualitySysVillab;Technische Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/4762102;;;;;;
5125275;point;waters;Minervaprojekt;fluvicon GmbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5125275;;;;;;
5133067;point;climate;PräNUDGE;JOANNEUM RESEARCH Forschungsgesellschaft mbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5133067;;;;;;
5121747;point;climate;iKlimEt;Technische Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5121747;;;;;;
4499084;point;cancer;OFM Beyond;JOANNEUM RESEARCH Forschungsgesellschaft mbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/4499084;;;;;;
4869273;point;climate;V2G-QUESTS;Technische Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/4869273;;;;;;
5130166;point;climate;eTruckDACH;Technische Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5130166;;;;;;
5129496;point;climate;GTIF-AT EW-Wasser;Sinergise Solutions GmbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5129496;;;;;;
4340597;point;cities;PeriSponge;Technische Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/4340597;;;;;;
4373967;point;soil;RestorEO;Universität Graz;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/4373967;;;;;;
5126166;point;climate;WasteCCUS;BEST - Bioenergy and Sustainable Technologies GmbH;Graz;Steiermark;47,0709;15,4383;https://projekte.ffg.at/projekt/5126166;;;;;;
874719;point;cancer;Instand-NGS4P;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/874719;;906790288;;;;
101095432;point;cancer;PoCCardio;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101095432;;89695625;;;;
101058620;point;cancer;canSERV;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058620;;350748906;;;;
101112066;point;cancer;GUIDE.MRD;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101112066;;2493230;;;;
853995;point;cancer;ImmUniverse;AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/853995;;213123625;;;;
101057062;point;cancer;AIDAVA;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101057062;;114578281;;;;
874662;point;climate;HEAP;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/874662;;882500;;;;
101216808;point;cancer;PERIFORMANCE;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101216808;;856250;;;;
101057843;point;climate;HIGH Horizons;UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101057843;;750000;;;;
101124559;point;climate;ERIC Forum 2;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101124559;;7368375;;;;
101096309;point;cancer;PANCAID;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101096309;;712750;;;;
101061083;point;climate;Invest4Nature;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101061083;;7031875;;;;
101099963;point;cancer;bioSWITCH;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101099963;;661026;;;;
101104240;point;cities;JUST STREETS;UFGC GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101104240;;657375;;;;
101079888;point;cities;EBENTO;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101079888;;614125;;;;
101000348;point;climate;DIVAGRI;ALCHEMIA-NOVA GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101000348;;61223875;;;;
101181402;point;soil;OLinWASTE;ACIB GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101181402;;58155125;;;;
